# [MS-ERREF] 2.2 Win32 Error Codes, extracted by extract_ms_erref.py --table win32.
# Source: https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-erref/18d8fbe8-a967-4f1c-ae50-99ca8e491d2d
# Columns: code (hex, no prefix), symbolic name, description.
# Rows are in specification order; a code may carry more than one name.
00000090	ERROR_DIR_NOT_ROOT	The directory is not a subdirectory of the root directory.
00000091	ERROR_DIR_NOT_EMPTY	The directory is not empty.
00000092	ERROR_IS_SUBST_PATH	The path specified is being used in a substitute.
00000093	ERROR_IS_JOIN_PATH	Not enough resources are available to process this command.
00000094	ERROR_PATH_BUSY	The path specified cannot be used at this time.
00000095	ERROR_IS_SUBST_TARGET	An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute.
00000096	ERROR_SYSTEM_TRACE	System trace information was not specified in your CONFIG.SYS file, or tracing is disallowed.
00000097	ERROR_INVALID_EVENT_COUNT	The number of specified semaphore events for DosMuxSemWait is not correct.
00000098	ERROR_TOO_MANY_MUXWAITERS	DosMuxSemWait did not execute; too many semaphores are already set.
00000099	ERROR_INVALID_LIST_FORMAT	The DosMuxSemWait list is not correct.
0000009A	ERROR_LABEL_TOO_LONG	The volume label you entered exceeds the label character limit of the destination file system.
0000009B	ERROR_TOO_MANY_TCBS	Cannot create another thread.
0000009C	ERROR_SIGNAL_REFUSED	The recipient process has refused the signal.
0000009D	ERROR_DISCARDED	The segment is already discarded and cannot be locked.
0000009E	ERROR_NOT_LOCKED	The segment is already unlocked.
0000009F	ERROR_BAD_THREADID_ADDR	The address for the thread ID is not correct.
000000A0	ERROR_BAD_ARGUMENTS	One or more arguments are not correct.
000000A1	ERROR_BAD_PATHNAME	The specified path is invalid.
000000A2	ERROR_SIGNAL_PENDING	A signal is already pending.
000000A4	ERROR_MAX_THRDS_REACHED	No more threads can be created in the system.
000000A7	ERROR_LOCK_FAILED	Unable to lock a region of a file.
000000AA	ERROR_BUSY	The requested resource is in use.
000000AD	ERROR_CANCEL_VIOLATION	A lock request was not outstanding for the supplied cancel region.
000000AE	ERROR_ATOMIC_LOCKS_NOT_SUPPORTED	The file system does not support atomic changes to the lock type.
000000B4	ERROR_INVALID_SEGMENT_NUMBER	The system detected a segment number that was not correct.
000000B6	ERROR_INVALID_ORDINAL	The operating system cannot run %1.
000000B7	ERROR_ALREADY_EXISTS	Cannot create a file when that file already exists.
000000BA	ERROR_INVALID_FLAG_NUMBER	The flag passed is not correct.
000000BB	ERROR_SEM_NOT_FOUND	The specified system semaphore name was not found.
000000BC	ERROR_INVALID_STARTING_CODESEG	The operating system cannot run %1.
000000BD	ERROR_INVALID_STACKSEG	The operating system cannot run %1.
000000BE	ERROR_INVALID_MODULETYPE	The operating system cannot run %1.
000000BF	ERROR_INVALID_EXE_SIGNATURE	Cannot run %1 in Win32 mode.
000000C0	ERROR_EXE_MARKED_INVALID	The operating system cannot run %1.
000000C1	ERROR_BAD_EXE_FORMAT	%1 is not a valid Win32 application.
000000C2	ERROR_ITERATED_DATA_EXCEEDS_64k	The operating system cannot run %1.
000000C3	ERROR_INVALID_MINALLOCSIZE	The operating system cannot run %1.
000000C4	ERROR_DYNLINK_FROM_INVALID_RING	The operating system cannot run this application program.
000000C5	ERROR_IOPL_NOT_ENABLED	The operating system is not presently configured to run this application.
000000C6	ERROR_INVALID_SEGDPL	The operating system cannot run %1.
000000C7	ERROR_AUTODATASEG_EXCEEDS_64k	The operating system cannot run this application program.
000000C8	ERROR_RING2SEG_MUST_BE_MOVABLE	The code segment cannot be greater than or equal to 64 KB.
000000C9	ERROR_RELOC_CHAIN_XEEDS_SEGLIM	The operating system cannot run %1.
000000CA	ERROR_INFLOOP_IN_RELOC_CHAIN	The operating system cannot run %1.
000000CB	ERROR_ENVVAR_NOT_FOUND	The system could not find the environment option that was entered.
000000CD	ERROR_NO_SIGNAL_SENT	No process in the command subtree has a signal handler.
000000CE	ERROR_FILENAME_EXCED_RANGE	The file name or extension is too long.
000000CF	ERROR_RING2_STACK_IN_USE	The ring 2 stack is in use.
000000D0	ERROR_META_EXPANSION_TOO_LONG	The asterisk (*) or question mark (?) global file name characters are entered incorrectly, or too many global file name characters are specified.
000000D1	ERROR_INVALID_SIGNAL_NUMBER	The signal being posted is not correct.
000000D2	ERROR_THREAD_1_INACTIVE	The signal handler cannot be set.
000000D4	ERROR_LOCKED	The segment is locked and cannot be reallocated.
000000D6	ERROR_TOO_MANY_MODULES	Too many dynamic-link modules are attached to this program or dynamic-link module.
000000D7	ERROR_NESTING_NOT_ALLOWED	Cannot nest calls to LoadModule.
000000D8	ERROR_EXE_MACHINE_TYPE_MISMATCH	This version of %1 is not compatible with the version of Windows you're running. Check your computer's system information to see whether you need an x86 (32-bit) or x64 (64-bit) version of the program, and then contact the software publisher.
000000D9	ERROR_EXE_CANNOT_MODIFY_SIGNED_BINARY	The image file %1 is signed, unable to modify.
000000DA	ERROR_EXE_CANNOT_MODIFY_STRONG_SIGNED_BINARY	The image file %1 is strong signed, unable to modify.
000000DC	ERROR_FILE_CHECKED_OUT	This file is checked out or locked for editing by another user.
000000DD	ERROR_CHECKOUT_REQUIRED	The file must be checked out before saving changes.
000000DE	ERROR_BAD_FILE_TYPE	The file type being saved or retrieved has been blocked.
000000DF	ERROR_FILE_TOO_LARGE	The file size exceeds the limit allowed and cannot be saved.
000000E0	ERROR_FORMS_AUTH_REQUIRED	Access denied. Before opening files in this location, you must first browse to the website and select the option to sign in automatically.
000000E1	ERROR_VIRUS_INFECTED	Operation did not complete successfully because the file contains a virus.
000000E2	ERROR_VIRUS_DELETED	This file contains a virus and cannot be opened. Due to the nature of this virus, the file has been removed from this location.
000000E5	ERROR_PIPE_LOCAL	The pipe is local.
000000E6	ERROR_BAD_PIPE	The pipe state is invalid.
000000E7	ERROR_PIPE_BUSY	All pipe instances are busy.
000000E8	ERROR_NO_DATA	The pipe is being closed.
000000E9	ERROR_PIPE_NOT_CONNECTED	No process is on the other end of the pipe.
000000EA	ERROR_MORE_DATA	More data is available.
000000F0	ERROR_VC_DISCONNECTED	The session was canceled.
000000FE	ERROR_INVALID_EA_NAME	The specified extended attribute name was invalid.
000000FF	ERROR_EA_LIST_INCONSISTENT	The extended attributes are inconsistent.
00000102	WAIT_TIMEOUT	The wait operation timed out.
00000103	ERROR_NO_MORE_ITEMS	No more data is available.
0000010A	ERROR_CANNOT_COPY	The copy functions cannot be used.
0000010B	ERROR_DIRECTORY	The directory name is invalid.
00000113	ERROR_EAS_DIDNT_FIT	The extended attributes did not fit in the buffer.
00000114	ERROR_EA_FILE_CORRUPT	The extended attribute file on the mounted file system is corrupt.
00000115	ERROR_EA_TABLE_FULL	The extended attribute table file is full.
00000116	ERROR_INVALID_EA_HANDLE	The specified extended attribute handle is invalid.
0000011A	ERROR_EAS_NOT_SUPPORTED	The mounted file system does not support extended attributes.
00000120	ERROR_NOT_OWNER	Attempt to release mutex not owned by caller.
0000012A	ERROR_TOO_MANY_POSTS	Too many posts were made to a semaphore.
0000012B	ERROR_PARTIAL_COPY	Only part of a ReadProcessMemory or WriteProcessMemory request was completed.
0000012C	ERROR_OPLOCK_NOT_GRANTED	The oplock request is denied.
0000012D	ERROR_INVALID_OPLOCK_PROTOCOL	An invalid oplock acknowledgment was received by the system.
0000012E	ERROR_DISK_TOO_FRAGMENTED	The volume is too fragmented to complete this operation.
0000012F	ERROR_DELETE_PENDING	The file cannot be opened because it is in the process of being deleted.
0000013D	ERROR_MR_MID_NOT_FOUND	The system cannot find message text for message number 0x%1 in the message file for %2.
0000013E	ERROR_SCOPE_NOT_FOUND	The scope specified was not found.
0000015E	ERROR_FAIL_NOACTION_REBOOT	No action was taken because a system reboot is required.
0000015F	ERROR_FAIL_SHUTDOWN	The shutdown operation failed.
00000160	ERROR_FAIL_RESTART	The restart operation failed.
00000161	ERROR_MAX_SESSIONS_REACHED	The maximum number of sessions has been reached.
00000190	ERROR_THREAD_MODE_ALREADY_BACKGROUND	The thread is already in background processing mode.
00000191	ERROR_THREAD_MODE_NOT_BACKGROUND	The thread is not in background processing mode.
00000192	ERROR_PROCESS_MODE_ALREADY_BACKGROUND	The process is already in background processing mode.
00000193	ERROR_PROCESS_MODE_NOT_BACKGROUND	The process is not in background processing mode.
000001E7	ERROR_INVALID_ADDRESS	Attempt to access invalid address.
000001F4	ERROR_USER_PROFILE_LOAD	User profile cannot be loaded.
00000216	ERROR_ARITHMETIC_OVERFLOW	Arithmetic result exceeded 32 bits.
00000217	ERROR_PIPE_CONNECTED	There is a process on the other end of the pipe.
00000218	ERROR_PIPE_LISTENING	Waiting for a process to open the other end of the pipe.
00000219	ERROR_VERIFIER_STOP	Application verifier has found an error in the current process.
0000021A	ERROR_ABIOS_ERROR	An error occurred in the ABIOS subsystem.
0000021B	ERROR_WX86_WARNING	A warning occurred in the WX86 subsystem.
0000021C	ERROR_WX86_ERROR	An error occurred in the WX86 subsystem.
0000021D	ERROR_TIMER_NOT_CANCELED	An attempt was made to cancel or set a timer that has an associated asynchronous procedure call (APC) and the subject thread is not the thread that originally set the timer with an associated APC routine.
0000021E	ERROR_UNWIND	Unwind exception code.
0000021F	ERROR_BAD_STACK	An invalid or unaligned stack was encountered during an unwind operation.
00000220	ERROR_INVALID_UNWIND_TARGET	An invalid unwind target was encountered during an unwind operation.
00000221	ERROR_INVALID_PORT_ATTRIBUTES	Invalid object attributes specified to NtCreatePort or invalid port attributes specified to NtConnectPort.
00000222	ERROR_PORT_MESSAGE_TOO_LONG	Length of message passed to NtRequestPort or NtRequestWaitReplyPort was longer than the maximum message allowed by the port.
00000223	ERROR_INVALID_QUOTA_LOWER	An attempt was made to lower a quota limit below the current usage.
00000224	ERROR_DEVICE_ALREADY_ATTACHED	An attempt was made to attach to a device that was already attached to another device.
00000225	ERROR_INSTRUCTION_MISALIGNMENT	An attempt was made to execute an instruction at an unaligned address, and the host system does not support unaligned instruction references.
00000226	ERROR_PROFILING_NOT_STARTED	Profiling not started.
